T1,T2,T3,result
11.57,10.6,10.95,10.72
11.21,9.95,10.11,9.97
12.0,11.94,12.0,10.94
13.92,14.09,14.1,14.15
16.49,16.5,15.0,15.27
11.0,11.0,11.0,10.0
10.0,10.86,11.08,12.68
10.32,10.36,11.36,11.36
13.76,12.0,12.0,11.0
12.95,12.9,11.0,11.4
15.98,16.2,16.35,12.76
13.0,13.0,14.5,13.0
14.72,15.06,15.02,14.11
9.2,9.3,9.4,10.57
12.0,11.0,12.0,10.96
11.32,10.0,11.2,10.06
11.72,11.75,11.92,10.98
12.37,11.47,11.42,12.56
13.0,14.0,14.0,13.0
11.0,11.0,11.0,10.0
11.2,11.23,11.0,11.04
11.0,12.0,11.0,12.0
10.0,10.0,10.0,9.99
14.0,14.0,14.0,13.0
8.0,9.0,9.0,10.74
14.93,14.69,12.43,12.42
15.22,15.96,15.73,15.41
14.5,13.5,12.5,14.5
16.54,17.73,18.04,16.52
14.66,14.8,16.48,13.89
11.0,11.0,12.0,11.75
16.21,17.22,17.79,16.3
16.52,16.58,15.41,15.51
12.0,12.0,11.0,11.0
17.23,17.96,18.11,17.5
14.75,15.3,15.54,15.43
10.0,11.0,10.0,11.0
12.45,11.99,11.35,10.4
15.5,15.63,17.0,12.53
17.0,16.0,16.0,14.0
16.51,17.55,18.43,16.98
17.42,17.88,17.78,15.69
17.0,17.0,17.0,16.0
16.0,16.0,17.0,12.0
11.0,12.0,11.0,10.0
8.0,9.0,7.0,11.0
15.41,16.32,17.57,14.95
13.0,13.0,13.0,12.95
14.7,14.65,14.4,14.47
11.5,12.5,12.5,11.44
11.0,12.0,12.0,11.0
