,T1,T2,T3,result
179,10.7,9.89,11.9,11.71
180,10.55,10.6,11.0,11.42
181,11.9,12.07,12.52,11.11
182,12.76,13.13,13.23,12.36
183,12.03,13.08,12.93,
184,9.99,10.32,10.42,9.79
185,10.0,9.0,12.0,9.68
186,11.35,11.11,10.55,10.81
187,10.24,10.56,11.23,11.08
188,11.0,11.0,11.0,9.0
189,11.53,12.08,13.11,9.73
190,13.0,10.76,13.0,11.0
191,12.0,11.0,12.0,10.0
192,12.0,11.0,10.0,10.38
193,9.0,11.0,10.0,9.0
194,11.0,10.0,11.0,10.0
195,11.0,12.0,13.0,12.0
196,11.0,11.0,12.0,9.0
197,12.0,10.0,12.0,9.0
198,10.02,9.46,10.6,11.99
199,11.16,10.06,10.08,11.48
200,11.58,11.3,11.85,12.09
201,10.13,9.98,10.05,10.31
202,10.93,10.95,10.37,10.84
203,10.58,10.03,10.65,11.3
204,11.59,9.36,10.0,11.23
205,11.71,10.98,11.11,12.6
206,11.8,10.14,11.5,12.37
207,10.78,10.76,9.85,10.48
208,8.0,8.0,9.0,10.4
209,8.82,10.15,,11.94
210,12.06,9.4,10.05,10.47
211,9.0,10.01,10.23,11.65
212,10.24,10.09,10.89,11.66
213,12.2,11.09,11.05,11.69
214,12.55,12.3,12.54,12.33
215,14.3,14.5,15.06,13.61
216,16.15,15.76,15.38,14.59
217,13.53,13.82,13.92,13.8
218,13.88,12.73,12.6,14.9
219,12.63,11.78,11.43,12.94
220,10.81,10.31,11.01,11.22
221,11.84,9.58,12.17,12.01
222,12.37,12.97,12.13,12.87
223,9.97,10.0,11.0,11.99
224,7.7,9.18,,10.7
225,14.34,13.24,13.82,13.82
226,10.3,10.45,10.23,11.47
227,15.32,14.53,15.45,15.81
228,16.0,15.28,15.83,15.67
229,12.09,11.9,13.15,12.75
230,15.82,15.26,16.32,14.98
231,17.99,17.79,17.38,17.11
232,10.0,9.48,9.95,12.0
233,13.0,15.0,14.0,13.2
